Prediction Name,QA Task,Retriever,Top-Retrieved Docs,Use_Postgen,Combination_Number,Rho,Tau,Best Single Signal,Best Single Rho,Best Single Tau,Number of Queries
RPP,dl,mt5,2,False,p01,0.2499211024616031,0.1739690721649484,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p02,0.2713286345466021,0.1890034364261169,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p03,0.2673311592678308,0.186426116838488,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p12,0.1393199032190195,0.093213058419244,avg(docQual),0.1869,0.1306,97
RPP,dl,mt5,2,False,p13,0.0283636650536503,0.0184707903780068,itg(perpC),0.043,0.0335,97
RPP,dl,mt5,2,False,p23,0.1758757626762044,0.1224226804123711,avg(docQual),0.1869,0.1306,97
RPP,dl,mt5,2,False,p012,0.2624789606564274,0.1829896907216495,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p013,0.2499211024616031,0.1739690721649484,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p023,0.2713286345466021,0.1890034364261169,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p123,0.1393199032190195,0.093213058419244,avg(docQual),0.1869,0.1306,97
RPP,dl,mt5,2,False,p0123,0.2624789606564274,0.1829896907216495,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,True,p0,0.3458473595623816,0.2465635738831615,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p1,0.3652035556490637,0.2650343642611684,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p2,0.3452161792552072,0.2418384879725086,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p01,0.3707395329265727,0.2581615120274914,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p02,0.3345650115716389,0.2396907216494845,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p03,0.3458473595623816,0.2465635738831615,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p12,0.3767620450241952,0.2766323024054983,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p13,0.3652035556490637,0.2650343642611684,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p23,0.3452161792552072,0.2418384879725086,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p012,0.3737376393856511,0.2620274914089347,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p013,0.3707395329265727,0.2581615120274914,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p023,0.3345650115716389,0.2396907216494845,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p123,0.3767620450241952,0.2766323024054983,prob(k),0.3449,0.2384,97
RPP,dl,mt5,2,True,p0123,0.3737376393856511,0.2620274914089347,prob(k),0.3449,0.2384,97
GPP,nq,e5,2,False,p0,0.2952212906774225,0.2240446771609929,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p1,0.1572643532374865,0.1181676809475935,itg(perpC),0.1571,0.1183,3610
GPP,nq,e5,2,False,p2,0.121503977331307,0.0913679806415318,avg(docQual),0.0958,0.0722,3610
GPP,nq,e5,2,False,p3,0.0934701484722142,0.0697916815922074,itg(Dale Chall),0.0634,0.0473,3610
GPP,nq,e5,2,False,p01,0.309369863169062,0.234603221765773,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p02,0.2998027307877393,0.2273746229131401,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p03,0.2973823352008503,0.22511935321444,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p12,0.1667313402178215,0.1254180537999357,itg(perpC),0.1571,0.1183,3610
GPP,nq,e5,2,False,p13,0.1616330285738277,0.121606496698287,itg(perpC),0.1571,0.1183,3610
GPP,nq,e5,2,False,p23,0.1250566110292641,0.0941134382419505,avg(docQual),0.0958,0.0722,3610
GPP,nq,e5,2,False,p012,0.3103868531848042,0.2353704784673926,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p013,0.3075459911069351,0.2328221823997237,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p023,0.3006224302460589,0.2275672674529407,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,False,p123,0.1661476316605819,0.1249988120428217,itg(perpC),0.1571,0.1183,3610
GPP,nq,e5,2,False,p0123,0.3087858548997087,0.2337854050987268,a_ratio,0.247,0.1877,3610
GPP,nq,e5,2,True,p0,0.3915432979091481,0.2959291383706495,prob(k),0.2873,0.2153,3610
GPP,nq,e5,2,True,p1,0.3176796695548177,0.2387576271001319,prob(k),0.2873,0.2153,3610
GPP,nq,e5,2,True,p2,0.3005252317199545,0.2258139069000812,prob(k),0.2873,0.2153,3610
GPP,nq,e5,2,True,p3,0.292193645484399,0.2196788056938644,prob(k),0.2873,0.2153,3610
